TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.iluwatar.intercepting.filter.FilterManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,29,23
com.iluwatar.intercepting.filter.FilterManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,29,23
com.iluwatar.intercepting.filter.FilterManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,29,23
com.iluwatar.intercepting.filter.Order,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
com.iluwatar.intercepting.filter.Order,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
com.iluwatar.intercepting.filter.Target,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,166,2
com.iluwatar.intercepting.filter.Order,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
com.iluwatar.intercepting.filter.Order,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
com.iluwatar.intercepting.filter.Order,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
